Region,U-wide/ Faculty,Country,University Name,Regular semester workload for full-time undergraduate students,Units,Conversion,Remarks
Europe,FASS,Germany,Georg-August-University,30,ECTS,0.6666666666666666,European University - standard
Europe,FoS,Germany,Georg-August-University,30,ECTS,0.6666666666666666,European University - standard
Europe,BIZ,Germany,Mannheim Business School,30,ECTS,0.6666666666666666,European University - standard
Europe,FoS,Germany,RPTU Kaiserslautern-Landau,30,ECTS,0.6666666666666666,European University - standard
Europe,CDE,Germany,Technical University of Berlin,30,ECTS,0.6666666666666666,European University - standard
Europe,BIZ,Germany,University of Cologne,30,ECTS,0.6666666666666666,European University - standard
Europe,CDE,Germany,University of Wuppertal,30,ECTS,0.6666666666666666,European University - standard
Europe,BIZ,Germany,WHU-Otto Beisheim School of Management,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Germany,Free University of Berlin,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Germany,Hamburg University of Technology (TUHH),30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Germany,Humboldt University of Berlin,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Germany,Karlsruhe Institute of Technology,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Germany,LMU Munich,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Germany,RWTH Aachen University,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Germany,Technical University of Darmstadt,30,ECTS,0.6666666666666666,European University - standard
Europe,U-wide,Germany,Technical University of Munich,30,ECTS,0.6666666666666666,European University - standard
